입니다	이라고 할 수 있습니다
입니	이라고 할 수 있겠습니
립니다	린다고 할 수 있습니다
립니	린다고 할 수 있겠습니
이다	이라고 할 수 있다
이고	이라고 할 수 있고
한다	하는 것은 사실이다
합니다	하는 것은 사실입니다
하고	하는 것은 사실이고
마른	말라 있는
죽은	죽어 있는
할 때	하는 데 있어
룰 때	루는 데 있어
볼 때	보는 데 있어
할때	하는 데 있어
룰때	루는 데 있어
볼때	보는 데 있어
제가	본인이
내가	본인이
본인이	제가
본인이	내가
잊어버린	잃어버린
잃어버린	잊어버린
늘이다	느리다
느리다	늘이다
늘리다	느리다
느리다	늘리다
늘이다	늘리다
늘리다	늘이다
너무	아주
아주	너무
벌이다	벌리다
벌리다	벌이다
홀몸	홑몸
틀리다	다르다
다르다	틀리다
메다	매다
매다	메다
했대	했데
결재	결제
왠	웬
웬	왠
채	체
체	채
습니다	읍니다
읍니다	습니다
해오	해요
해요	해오
않	안
깨끗이	깨끗히
깨끗히	깨끗이
붙이다	부치다
부치다	붙이다
율	률
률	율
띠다	띄다
띄다	띠다
반드시	반듯이
반듯이	반드시
며칠	몇일
몇일	며칠
로서	로써
로써	로서
더욱이	더우기
더우기	더욱이
작다	적다
적다	작다
하던	하든
하든	하던
드러	들어
들어	드러
곤욕	곤혹
곤혹	곤욕
일체	일절
일절	일체
공포	공표
공표	공포
읽는	읽혀지는
읽는	읽히는
읽혀지는	읽는
읽히는	읽는
보는	보여지는
보는	보이는
보이는	보는
보여지는	보는
쓰는	쓰이는
쓰는	쓰여지는
쓰이는	쓰는
쓰여지는	쓰는
